1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2307.10811_1881806_1	Although large language models (LLMs) have been demonstrated to be useful for a variety of tasks including creative writing, little is known about how users would collaborate with LLMs to support prewriting.
2307.13566_1884561_1	Consequently, previous research has evaluated how decision-makers collaborate with imperfect AI by investigating appropriate reliance and task performance with the aim of designing more human-centered computer-supported collaborative tools.
2307.16368_1887363_7	It first recognizes the actions already performed in the observed videos and then asks an LLM to predict the future actions via conditioned generation, or to infer the goal and plan the whole procedure by chain-of-thought prompting.
2308.01240_1889132_0	  In this work, we evaluate 10 open-source instructed LLMs on four representative code comprehension and generation tasks.
2308.03314_1891206_7	To enhance accuracy, GPTScan further instructs GPT to intelligently recognize key variables and statements, which are then validated by static confirmation.
2308.06212_1894104_9	LLMCRS also designs schema-based instruction, demonstration-based instruction, dynamic sub-task and model matching, and summary-based generation to instruct LLM to generate desired results in the workflow.
2308.07326_1895218_7	Our research emphasizes a quantitative role to describe steerability in LLMs, presenting both its promise and areas for further refinement in aligning its progress to human intentions.
2308.07758_1895650_3	Specifically, for mathematical tasks, we mask a number in the question and ask the LLM to answer a backward question created by a simple template, i.e., to predict the masked number when a candidate answer is provided.
2308.08239_1896131_3	The instructions are reconstructed from a collection of public datasets to teach the LLMs to memorize and retrieve past dialogues with structured memos, leading to enhanced consistency when participating in future conversations.
2308.08493_1896385_3	To estimate contamination of individual instances, we employ "guided instruction:" a prompt consisting of the dataset name, partition type, and the random-length initial segment of a reference instance, asking the LLM to complete it.
2308.09954_1897846_7	Under our framework, we first ask the LLM to perform knowledge editing using raw documents, which provides a more convenient and universal approach compared to using factual triplets.
2308.10335_1898227_7	Existing code evaluation benchmark and datasets focus on crafting small tasks such as programming questions in coding interviews, which however deviates from the problem that developers would ask LLM for real-world coding help.
2308.11534_1899426_5	Our findings further demonstrate that our method introduces highly human-like questioning patterns and rich topic structures, which can teach the response model better than previous works in multi-round conversations.
2308.12915_1900807_5	We focus on Shahrzad, who seeks to alter her fate compared to the original folklore, and the player, who collaborates with AI to craft narratives and shape the game world.
2308.14132_1902024_1	Such jailbreaks can trick LLMs into providing intricate instructions to a malicious user for creating explosives, orchestrating a bank heist, or facilitating the creation of offensive content.
2309.00240_1905044_6	Then, we instruct-tune an open-sourced language model, called LLaMA, using this evidence, enabling it to predict the veracity of the input claim more accurately.
2309.01940_1906744_5	The code correction task asks LLMs to fix real-world erroneous code segments with different error messages.
2309.03118_1907922_4	In this paper, we propose a paradigm, termed Knowledge Solver (KSL), to teach LLMs to search for essential knowledge from external knowledge bases by harnessing their own strong generalizability.
2309.04550_1909354_3	Our method entails tasking an LLM to infer whether a patient has, or is at risk of, a particular condition on the basis of associated notes; if so, we ask the model to summarize the supporting evidence.
2309.05660_1910464_5	To reduce the hypothesis search space, we explore steps to filter the set of hypotheses to implement: we either ask the LLM to summarize them into a smaller set of hypotheses or ask human annotators to select a subset.
2309.05689_1910493_2	Socratic reasoning encourages LLMs to recursively discover, solve, and integrate problems while facilitating self-evaluation and refinement.
2309.05950_1910754_4	Specifically, we adopt an automatic hill-climbing procedure that converges to an effective prompt by evaluating the performance of current prompts and asking LLMs to refine them based on textual feedback, all within a conversational process without human-in-the-loop.
2309.07062_1911866_3	Crucially, during training, we ask the model to predict the instruction counts before and after optimization, and the optimized code itself.
2309.07623_1912427_5	We specifically employ a minimal dataset to instruct LLMs to recognize the intended output modality as directed by the instructions.
2309.08902_1913706_5	We introduce a template-generated dataset of sentence completion tasks that asks the model to select the most appropriate attribute to complete an evaluative statement about a person described as a member of a specific social group.
2309.10524_1915328_3	Specifically, we instruct an LLM to correct grammatical errors in an ASR hypothesis and use the LLM-derived representations to refine the output further.
2309.12321_1917125_3	This paper makes a case that effective legal systems are the best way to address AI safety.
2309.12767_1917571_7	1) Furthest reasoning operates by masking previous reasoning path and generated queries for LLM, encouraging LLM generating chain of thought from scratch in each iteration.
2309.13638_1918442_3	This approach - which we call the teleological approach - leads us to identify three factors that we hypothesize will influence LLM accuracy: the probability of the task to be performed, the probability of the target output, and the probability of the provided input.
2309.14459_1919263_4	We define a process of Envisioning by highlighting three misalignments: (1) knowing whether LLMs can accomplish the task, (2) how to instruct the LLM to do the task, and (3) how to evaluate the success of the LLM's output in meeting the goal.
2309.14530_1919334_4	By categorizing and elucidating these genres, the study aims to facilitate the development of empirical qualitative and quantitative research, fostering evidence-based approaches to address AI-related risks in healthcare effectively.
2309.16167_1920971_1	However, few studies have addressed the LLM threat and vulnerability from an ideology perspective, especially when they are increasingly being deployed in sensitive domains, e.g., elections and education.
2309.16400_1921204_2	Here, we combine Large Eddy Simulation (LES) techniques with Machine Learning (ML) to retain only the largest dynamics explicitly, while small-scale dynamics are described by an ML-based sub-grid-scale model.
2309.16697_1921501_1	Students can ask ChatGPT to complete a programming task, generating a solution from other people's work without proper acknowledgment of the source(s).
2310.00525_1922782_5	Through a feedback mechanism, the user interacts with the algorithm, correcting the algorithm output to their preferences.
2310.00603_1922860_2	In this paper, we address model-agnostic explanations, proposing two approaches for counterfactual (CF) approximation.
2310.02407_1924664_9	To ensure that multiple modifications do not notably change the code representation, BugFarm analyzes the attention of the underlying model and instructs LLMs to only change the least attended locations (hard-to-detect).
2310.02439_1924696_3	We explicitly ask LLMs to mimic a novice learner by answering questions in a specific incorrect manner based on incomplete knowledge; and to mimic an expert tutor by identifying misconception(s) corresponding to an incorrect answer to a question.
2310.03051_1925308_5	Our analysis reveals the core challenge for LLMs lies in identifying the implicit inferences about mental states without being explicitly asked about as in ToMi, that lead to choosing the correct action in T4D. To bridge this gap, we introduce a zero-shot prompting framework, Foresee and Reflect (FaR), which provides a reasoning structure that encourages LLMs to anticipate future challenges and reason about potential actions.
2310.03214_1925471_9	Additionally, instructing the LLM to generate concise and direct answers helps reduce hallucination compared to encouraging more verbose answers.
2310.04782_1927039_5	Therefore, we introduce uncertainty information as an intermediary variable that implicitly influences the model's behavior.
2310.05657_1927914_5	Last, we reveal that asking the LLM to explain its own ratings consistently improves the correlation between the ChatGPT and human ratings and pushes state-of-the-art (SoTA) correlations on two meta-evaluation datasets.
2310.05976_1928233_4	The population is evolved according to selection based on average payoff and mutation of genes by asking LLM to slightly modify the parent gene toward cooperative or selfish.
2310.06552_1928809_4	Unsupervised pre-training alone does not guarantee precise knowledge of the ICD ontology and specialist clinical coding task, therefore we frame the task as information extraction, providing a description of each coded concept and asking the model to retrieve related mentions.
2310.07088_1929345_1	Nevertheless, instructing the model to break down the problem into smaller reasoning steps, or ensembling various generations through modifying decoding steps boosts performance.
2310.08433_1930690_2	We ask several LLMs and humans to write such a story and conduct a human evalution involving various criteria such as fluency, coherence, originality, humor, and style.
2310.08922_1931179_3	In this approach, a multi-round feedback-revision mechanism is utilized to encourage LLMs to actively select appropriate revision actions guided by feedback information from the environment.
2310.09810_1932067_1	In this paper, we undertake a comprehensive study by instructing ChatGPT for four prevalent vulnerability tasks: function and line-level vulnerability prediction, vulnerability classification, severity estimation, and vulnerability repair.
2310.10035_1932292_4	Second, we propose syntactic augmentation to stimulate the model's intermediate thinking in two ways: syntactic prompting, which encourages the model to analyze the syntactic structure itself, and tool augmentation, which provides the model with the syntactic information generated by a parsing tool.
2310.10158_1932415_2	Therefore, we aim to train an agent with the profile, experience, and emotional states of a specific person instead of using limited prompts to instruct ChatGPT API.
2310.10158_1932415_3	In this work, we introduce Character-LLM that teach LLMs to act as specific people such as Beethoven, Queen Cleopatra, Julius Caesar, etc.
2310.10903_1933160_4	Results indicate that Kailing effectively collaborates with ChatGPT across various writing stages while preserving her distinct authorial voice and agency.
2310.11324_1933581_1	Because choices in prompt design can strongly influence model behavior, this design process is critical in effectively using any modern pre-trained generative language model.
2310.12558_1934815_7	To reduce over-reliance on LLMs, we ask LLMs to provide contrastive information - explain both why the claim is true and false, and then we present both sides of the explanation to users.
2310.13548_1935805_1	But human feedback may also encourage model responses that match user beliefs over truthful ones, a behaviour known as sycophancy.
2310.13625_1935882_7	While the scheme will not address all AI risks, it complements proposed solutions by allowing for a more precise and flexible approach to controlling the development of frontier AI models and unwanted AI proliferation.
2310.14122_1936379_1	Existing prompts for pointwise LLM rankers mostly ask the model to choose from binary relevance labels like "Yes" and "No".
2310.15747_1938004_4	To address this problem while leveraging LLMs' prior on VideoQA, we propose a novel framework, Flipped-VQA, encouraging the model to predict all the combinations of $\langle$V, Q, A$\rangle$ triplet by flipping the source pair and the target label to understand their complex relationships, $\textit{i.e.}$, predict A, Q, and V given a VQ, VA, and QA pairs, respectively.
2310.15780_1938037_3	We propose GPTDroid, asking LLM to chat with the mobile apps by passing the GUI page information to LLM to elicit testing scripts, and executing them to keep passing the app feedback to LLM, iterating the whole process.
2310.15851_1938108_9	In the first stage, we enhance the model's ability to assess harmful content, and in the second stage, we instruct the model to consistently perform harmful content detection on its own responses.
2310.16164_1938421_1	However, data scientists encounter substantial obstacles when conversing with LLM-powered chatbots and acting on their suggestions and answers.
2310.16535_1938792_2	Existing studies utilize trigger sentences to encourage LLMs to concentrate on the relevant information but the trigger has limited effect on final answer prediction.
2310.16727_1938984_5	A key challenge is to systematically and transparently identify and address AI risks' root causes - also called AI hazards.
2310.17567_1939824_4	Using a list of $N$ skills the evaluator repeatedly picks random subsets of $k$ skills and asks the LLM to produce text combining that subset of skills.
2310.17688_1939945_6	In this short consensus paper, we describe extreme risks from upcoming, advanced AI systems.
2310.18360_1940617_3	Using GPT4 as the editor, we find it can successfully edit trigger shortcut in samples that fool LLMs.
2310.19046_1941303_5	Specifically, in each generation of the evolutionary search, LMEA instructs the LLM to select parent solutions from current population, and perform crossover and mutation to generate offspring solutions.
2310.19204_1941461_3	We ask ChatGPT to generate candidates of metamorphic relations (MRs), which are basically necessary properties of the object program and which traditionally require human intelligence to identify.
2310.20444_1942701_1	Thus, it is of major importance to know which stakeholders influence AI research.
2310.20487_1942744_5	Subsequently, it constructs a sequence-recovery prompt that encourages the LLM to generate textual descriptions for items within the interaction sequence.
2311.01007_1943974_2	In this work, we propose to learn rules, grounded in data regions and described in natural language, that illustrate how the human should collaborate with the AI.
2311.01041_1944008_4	Instead of attempting to answer all questions, we explore a refusal mechanism that instructs LLMs to refuse to answer challenging questions in order to avoid errors.
2311.01894_1944861_4	For the segmentation networks under test the F1 score dependency on TE and TI can be well described by quadratic model functions (R^2 > 0.9).
2311.01918_1944885_6	To address LLMs' limitations regarding personalization and complex clinical reasoning, the paper explores the emerging development of LLM-powered autonomous agents for healthcare.
2311.01981_1944948_4	In this paper, focusing on easing the prompt forgetting during generation, we proposed an architecture to teach the model memorizing prompt during generation by synthetic gradient.
2311.02433_1945400_6	To provide some first evidence on this hypothesis, we ask ChatGPT to annotate 106 C programs with loop invariants.
2311.06377_1949344_4	Our emulation strategy involved using the initial five words of each PubMed abstract as a prompt and instructing the model to expand the content up to the original abstract's length.
2311.06985_1949952_9	For example, Teach-Back enables a 7B model to teach the much larger GPT-3.5 in context, surpassing human teachers by around 5% in test accuracy on medical question answering.
2311.07594_1950561_6	The study surveys existing modality alignment methods for MLLMs, categorizing them into four groups: (1) Multimodal Converter, which transforms data into a format that LLMs can understand; (2) Multimodal Perceiver, which improves how LLMs percieve different types of data; (3) Tool Learning, which leverages external tools to convert data into a common format, usually text; and (4) Data-Driven Method, which teaches LLMs to understand specific data types within datasets.
2311.08147_1951114_3	However, the external information from the Internet may include counterfactual information that will confuse the model and lead to an incorrect response.
2311.08369_1951336_2	When users instruct LLMs to generate texts, the instruction can include different constraints depending on the user's need.
2311.08877_1951844_3	We first study eliciting confidence linguistically -- asking an LLM for its confidence in its answer -- which performs reasonably (80.5% AUC on GPT-4 averaged across 12 question-answering datasets -- 7% above a random baseline) but leaves room for improvement.
2311.09718_1952685_1	To properly understand the properties and innate personas of LLMs, researchers have performed studies that involve using prompts in the form of questions that ask LLMs about particular opinions.
2311.10652_1953619_8	Drawing on these insights, we discuss strategies for effectively communicating model updates in AI-infused systems.
2311.10934_1953901_3	We present a process to assemble such a case repository by: 1) gathering a set of ``seed'' cases -- questions one may ask an AI system -- in a particular domain, 2) eliciting domain-specific key dimensions for cases through workshops with domain experts, 3) using LLMs to generate variations of cases not seen in the wild, and 4) engaging with the public to judge and improve cases.
2311.11628_1954595_0	  We present a method to integrate Large Language Models (LLMs) and traditional tabular data classification techniques, addressing LLMs challenges like data serialization sensitivity and biases.
2311.12188_1955155_4	In particular, we ask ChatGPT to give examples of how to use Bayes rule for medical diagnosis.
2311.13240_1956207_6	Our work sheds light on whether popular LLMs are well-calibrated and how the training process influences model calibration.
2311.14703_1957670_8	Finally, we find that through asking ChatGPT 3.5 to explain its reasoning prior to providing an answer, we are able to improve clinical accuracy and mitigate instances of gender and racial biases.
2311.16479_1959446_5	These conversations pay more attention on detailed facts in the image, encouraging the model to answer questions based on multi-modal contexts.
2311.16494_1959461_7	3) We propose negative prompting, explicitly enumerating class-agnostic attributes to activate spurious correlations and encourage the model to generate highly orthogonal probability distributions in relation to these negative features.
2311.16639_1959606_1	We ask an LLM where a tweet or a sentence of a political text stands on the focal dimension and take the average of the LLM responses to position political actors such as US Senators, or longer texts such as UK party manifestos or EU policy speeches given in 10 different languages.
2312.00575_1962383_1	However, no studies have shown that instruction-tuning actually teaches LLMs to process language in a similar manner as humans.
2312.00819_1962627_4	Specifically, we carefully design our prompts that include 1) task description, 2) travel characteristics, 3) individual attributes, and 4) guides of thinking with domain knowledge, and ask the LLMs to predict an individual's travel behavior and explain the results.
2312.01797_1963605_2	Prompts are used for two main purposes: 1) to provide LLMs with essential information like environments, costs, heuristics, etc.; 2) to communicate human feedback on intermediate planning results to LLMs.
2312.02147_1963955_3	Second, we supplement the autoregressive modeling by instructing the model to predict not only the next tokens but also the visible tokens.
2312.04412_1966220_1	In this paper, we successfully developed three elementary FL algorithms using the following three steps process: (i) specify context, (ii) ask ChatGPT to complete server and clients' callback functions, and (iii) verify the generated code.
2312.04474_1966282_4	The key idea is to encourage LMs to format semantic sub-tasks in a program as flexible pseudocode that the interpreter can explicitly catch undefined behaviors and hand off to simulate with an LM (as an "LMulator").
2312.04927_1966735_2	In fine-grained analysis, we find 82% of the gap is explained by each model's ability to recall information that is previously mentioned in-context, e.g. "Hakuna Matata means no worries Hakuna Matata it means no" $\rightarrow$ "??".
2312.05356_1967164_9	\textsc{MINT} is effective, efficient, and reliable, capable of correcting a neural model by patching a minimum number of neurons (usually one or two neurons).
2312.06942_1968750_8	This protocol first asks GPT-4 to write code, and then asks GPT-3.5 to rate the suspiciousness of that code.
2312.06942_1968750_12	This protocol asks GPT-4 to write code, and then asks another instance of GPT-4 whether the code is backdoored, using various techniques to prevent the GPT-4 instances from colluding.
2312.08027_1969835_2	To alleviate this, we use an interpretable structure to explain the prompt learning principle in LLMs, which certificates that the effectiveness of language models is determined by position changes of the task's related tokens.
2312.08680_1970488_5	By iteratively asking GPT-4 with the prompts, GHGNAS continually validates the accuracy of the generated HGNNs and uses the feedback to further optimize the prompts.
2312.09203_1971011_3	A key aspect of our approach is that we elicit such scores directly, instructing the LLM to furnish numeric scores itself.
2312.09300_1971108_4	We instruct an LLM to self-evaluate its answers, employing either a multi-way comparison or a point-wise evaluation approach, with the option to include a ``None of the above'' option to express the model's uncertainty explicitly.
2312.10321_1972129_5	The former technique is used to evaluate the semantic equivalence in which it asks LLMs to execute a query on a simple database instance and then explore if a counterexample exists by modifying the database.
2312.10321_1972129_6	The latter technique is used to evaluate the relaxed equivalence in which it asks LLMs to explain the queries and then compare if they contain significant logical differences.
2312.10603_1972411_10	This progress indicates that addressing the current model's limitations could yield an AI capable of passing even the most rigorous professional certifications.
2312.10620_1972428_2	Through a thematic analysis of a hands on workshop in which 22 professional software engineers collaborated for three hours with ChatGPT, we explore the transition of AI from a mere tool to a collaborative partner.
2312.11681_1973489_2	Chains address LLM errors analogously to the way crowdsourcing workflows address human error.
2312.14856_1976664_3	Thus, from a single question template, it is possible to ask an LLM a $\textit{neighbourhood}$ of very similar programming questions, and assess the correctness of the result returned for each question.
2312.14949_1976757_5	We start by providing a detailed description of our approach in conversing with the LLM to optimize the _getextrema function in the pillow library, and a quantitative evaluation of the performance improvement.
2312.14950_1976758_3	That is, instead of asking an LLM to write a program (robotic plan) in the popular but verbose Python, ChatFly gets it to do it in MiniSpec specially designed for token efficiency and stream interpretation.
2312.15663_1977471_8	Third, based on the quality descriptions, users can talk with ChatGPT to rate image quality scores or produce a radiological quality report.
2312.16044_1977852_3	Specifically, the framework begins by instructing the LLM with a knowledgeable prompt detailing real-time traffic conditions.
2312.16211_1978019_5	We ask ChatGPT to reflect on various aspects of each causal link and we then produce visualizations that summarize these viewpoints for the human analyst to direct the edge, gather more data, or test further hypotheses.
2312.16257_1978065_5	Our casual intervention experiments showed that the spatial representations influenced the model's performance on next word prediction and a downstream task that relies on geospatial information.
2312.17235_1979043_7	Furthermore, we show that a specialized prompt that asks the LLM first to summarize the noisy short-term visual captions and then answer a given input question leads to a significant LVQA performance boost.
2401.00139_1979695_6	This motivates the proposed fine-tuned LLM for pairwise causal discovery, effectively leveraging both knowledge and numerical information.
2401.00996_1980552_4	In this article, we aim to address the safe model compression problem from the perspective of safety-performance co-optimization.
2401.03676_1983232_6	From the dataset, we created 13 sets of code problem variant prompts, which were used to instruct ChatGPT to generate the outputs.
2401.03729_1983285_1	By simply asking the LLM for an answer, or ``prompting,'' practitioners are able to use LLMs to quickly get a response for an arbitrary task.
2401.04092_1983648_7	We further design a method instructing GPT-4V to compare two 3D assets according to user-defined criteria.
2401.05033_1984589_4	This approach generates a training data via "self-talk" of LLMs that can be refined and utilized for supervised fine-tuning.
2401.05612_1985168_6	Additionally, step-wise multiple regression analyses revealed how user demographics such as age and familiarity with probability and statistics influence human-AI collaborative decision-making.
2401.06059_1985615_2	There has been little understanding of how this potential contamination might influence LMs' performance on downstream tasks.
2401.06072_1985628_6	Additionally, we execute a substantial range of ablation experiments and draw comparisons with several advanced commercial LLMs, to investigate the crucial factors influencing LLMs' performance in structured temporal knowledge inference tasks.
2401.06373_1985929_3	Specifically, we study how to persuade LLMs to jailbreak them.
2401.06853_1986409_7	On top of that, we teach LLM to perform deliberate reasoning over the TGs via Chain-of-Thought (CoT) bootstrapping and graph data augmentation.
2401.08273_1987829_1	Null-shot prompting exploits hallucination in large language models (LLMs) by instructing LLMs to utilize information from the "Examples" section that never exists within the provided context to perform a task.
2401.08711_1988267_1	Given the pressing need to teach "critical AI literacy", discussion of metaphor provides an opportunity for inquiry and dialogue with space for nuance, playfulness, and critique.
2401.09074_1988630_5	We propose a novel off-the-shelf prompting method, Chain of Simulation (CoSm), which instructs LLMs to simulate code execution line by line/follow the computation pattern of compilers.
2401.09566_1989122_6	We demonstrate that this method effectively instils desirable behaviour, mitigates undesirable ones, and encourages the model to disregard inappropriate instructions.
2401.10446_1990000_3	In this work, we extend the benchmark to noisy conditions and investigate if we can teach LLMs to perform denoising for GER just like what robust ASR do}, where one solution is introducing noise information as a conditioner into LLM.
2401.10657_1990211_2	We undermine model robustness by deploying an attack that focuses on input transformation while mimicking the real data and confusing the model decision-making, ultimately yielding a pronounced deterioration in model performance.
2401.10745_1990299_3	Currently, there are limited usage of ethical artificial intelligence (AI) principles and guidelines addressing advanced LLMs due to the fact that we have not reached that point yet.
2401.10745_1990299_5	This paper addresses this issue by discussing what ethical AI principles and guidelines can be used to address highly advanced LLMs.
2401.12474_1992028_3	Ditto capitalizes on character knowledge, encouraging an instruction-following LLM to simulate role-play dialogues as a variant of reading comprehension.
2401.13218_1992772_6	We introduce LEAFER to address the challenge LLMs face in locating the exact boundary of an argument.
2401.15241_1994795_0	  Identifying the training datasets that influence a language model's outputs is essential for minimizing the generation of harmful content and enhancing its performance.
2401.15963_1995517_5	We propose a prompting method, Coding Concepts (CoCo), as a way for a developer to communicate the domain knowledge to the LMs.
2401.17043_1996597_1	This method addresses common LLM limitations, including outdated information and the tendency to produce inaccurate "hallucinated" content.
2401.17390_1996944_5	Before generating an answer, we ask the model to analyze the examples to teach itself what to avoid.
2402.01691_1999330_1	Responsible AI (RAI) governance approaches at organizations have emerged as important mechanisms to address potential AI risks and harms.
2402.01732_1999371_3	To address this important concern, we present a resume audit study, in which we ask ChatGPT (specifically, GPT-4) to rank a resume against the same resume enhanced with an additional leadership award, scholarship, panel presentation, and membership that are disability related.
2402.01760_1999399_3	This paper describes technological components that were built to address ethical and trustworthy concerns in a multi-modal collaborative platform (called ALLURE chatbot) for high school students to collaborate with AI to solve the Rubik's cube.
2402.01766_1999405_3	We observed that the choice of voting methods and the presentation order influenced LLM voting outcomes.
2402.01867_1999506_2	In this work, we ask the LLM how similar are these prompted LFs.
2402.02167_1999806_2	At the same time, several pitfalls, like the multiple ways of instructing an LLM to generate the desired result, the different perspectives leading the generation (code-based, image-based, grammar-based), and the presence of hallucinations even for the visualization generation task, make their usage less affordable than expected.
2402.02456_2000095_4	The proposed framework is an elaborate prompting pipeline that instruct LLMs to generate new TN-SS algorithms through iterative refinement and enhancement.
2402.03776_2001415_7	To instruct LLMs, we use three different prompts based on a variant of the zero-shot chain-of-thought (Zero-shot-CoT) prompting technique: Zero-shot-CoT combined with instructor-provided correct answers; Zero-shot-CoT in conjunction with both instructor-formulated answers and rubrics; and Zero-shot-CoT with instructor-offered correct answers and LLM-generated rubrics.
2402.03916_2001555_2	Accordingly, we propose an LLM-empowered Rumor Detection (LeRuD) approach, in which we design prompts to teach LLMs to reason over important clues in news and comments, and divide the entire propagation information into a Chain-of-Propagation for reducing LLMs' burden.
2402.04315_2001954_3	In this work, we propose an effective training framework using fine-grained rewards to teach LLMs to generate highly supportive and relevant citations, while ensuring the correctness of their responses.
2402.04568_2002207_0	  Prompt design plays a crucial role in shaping the efficacy of ChatGPT, influencing the model's ability to extract contextually accurate responses.
2402.08680_2006319_2	However, these approaches require either expensive training/fine-tuning or API access to advanced LLMs to correct the model's output post-generation.
2402.08699_2006338_4	RTC rests on the idea that we can ask a model to make a prediction (e.g., describe some code using natural language), feed that prediction back (e.g., synthesize code from the predicted description), and check if this round-trip leads to code that is semantically equivalent to the original input.
2402.08806_2006445_2	Methods: Using collective intelligence methods and a dataset of 200 clinical vignettes of real-life cases, we assessed and compared the accuracy of differential diagnoses obtained by asking individual commercial LLMs (OpenAI GPT-4, Google PaLM 2, Cohere Command, Meta Llama 2) against the accuracy of differential diagnoses synthesized by aggregating responses from combinations of the same LLMs.   
2402.09671_2007310_0	  This investigation reveals a novel exploit derived from PNG image file formats, specifically their alpha transparency layer, and its potential to fool multiple AI vision systems.
2402.10151_2007790_4	We introduce ControlLM, which leverages differential activation patterns, derived from contrasting behavioral prompts in the model's latent space, to influence the model's personality traits at inference.
2402.11245_2008884_2	To address the AI model placement problem under uncertainties, this paper presents a novel approach employing a sequence-to-sequence (S2S) neural network which considers uncertainty estimations.
2402.11532_2009171_3	Unlike the conventional practice of solving single instruction tasks, our proposed method encourages a model to solve each subtask step by step until the final answer is reached.
2402.11633_2009272_6	The former improves the generation quality by using the LLM's own knowledge scope to initiate dialog generation; the latter prompts the LLM to generate utterances sequentially, and mitigates the need for manual prompt design by asking the LLM to autonomously adapt its prompt instruction when generating complex multi-intent utterances.
2402.11651_2009290_5	By simply adding a prefix or suffix that tells the model whether to generate a successful trajectory during training, we improve model performance by a large margin on mathematical reasoning, multi-hop question answering, and strategic question answering tasks.
2402.11801_2009440_5	Regarding emotional understanding, HEF implements a two-stage emotion prediction strategy, encouraging LLMs to prioritize primary emotions emphasized by SEMs, followed by other categories, substantially alleviates the difficulties for LLMs in fine-grained emotion detection.
2402.11905_2009544_2	To this end, we propose a Learning to Edit (LTE) framework, focusing on teaching LLMs to apply updated knowledge into input questions, inspired by the philosophy of "Teach a man to fish."
2402.12026_2009665_5	Through downscaling in the frequency space, MuScleLoRA encourages the model to prioritize the learning of relatively high-frequency clean mapping, consequently mitigating backdoor learning.
2402.12786_2010425_4	Our goal is to teach the LLM that "even if the sentences are identical if they are spoken in different styles, their corresponding responses might be different".
2402.12786_2010425_6	To teach LLMs to understand and respond properly to the speaking styles, we propose the Spoken-LLM framework that can model the linguistic content and the speaking styles.
2402.12907_2010546_1	While considerable strides have been made in addressing AI alignment challenges, existing methodologies primarily focus on technical facets, often neglecting the intricate sociotechnical nature of AI systems, which can lead to a misalignment between the development and deployment contexts.
2402.13414_2011053_4	Leveraging the in-context learning capability of LLMs, we ask the LLM to summarise the instances in which the ML model makes mistakes and the correlation between primary predictions and true labels.
2402.14846_2012485_5	We consider two settings (with and without instructing LLMs to simulate particular personas), two simulated populations, and three downstream tasks.
2402.15301_2012940_6	Comparing to other LLM-based methods that directly instruct LLMs to do the highly complex causal reasoning, our method shows clear advantage on causal graph quality on benchmark datasets.
2402.15302_2012941_6	Overall, we observe that asking LLMs to produce instruction-centric responses enhances the unethical response generation by ~2-38% across the models.
2402.15302_2012941_8	In particular, asking edited LLMs to generate instruction-centric responses further increases the unethical response generation by ~3-16% across the different models.
2402.15627_2013266_8	We hope by articulating the problems and sharing our experience from a systems perspective, this work can inspire future LLM systems research.
2402.16786_2014425_3	Such real-world concerns, however, stand in stark contrast to the artificiality of current evaluations: real users do not typically ask LLMs survey questions.
2402.16929_2014568_1	Nevertheless, formulating high-quality prompts to instruct LLMs proficiently poses a challenge for non-AI experts.
2402.17124_2014763_2	In this paper, we explore how different prompting strategies influence LLM confidence calibration and how it could be improved.
2402.17124_2014763_6	And then it asks the model to "reflect" over them to generate the final answer.
2402.17385_2015024_7	Our research reveals that, due to the multifaceted interactions with various determinants, factors such as trust in or reliance on LLMs, the user's mental model, and the characteristics of information processing are identified as significant aspects influencing LLM-assisted decision-making processes.
2402.18284_2015923_3	Our method begins with probabilistic sampling to encourage a language model to generate diverse responses for each input.
2402.18593_2016232_8	We hope our work will inspire HPCs/datacenters to further explore, evaluate, and communicate the impact of power-capping AI hardware accelerators for more sustainable AI.
2403.00824_2017943_5	As a result, we can talk about model behavior in general, for specific types of predictions, or different domains.
2403.01069_2018188_6	The results reveal the fine-grained effects of incorporating criteria and demonstrations and provide valuable insights on how to teach LLMs to use criteria more effectively.
2403.01209_2018328_2	Through asking LLM by well-designed questions, we acquire comprehensive knowledge about characteristics and contexts of objects, which provides valuable text descriptions for learning prompts.
2403.01570_2018689_6	Specifically, SERSAL utilizes the LLM's prior outcomes as original soft noisy annotations, which are dynamically leveraged to teach a better small student model.
2403.01570_2018689_7	Reversely, the outcomes from the trained small model are used to teach the LLM to further refine its real capability.
2403.01632_2018751_3	Due to the hallucinations and unreliability of LLMs, instructing LLMs to adhere to specified syntax becomes an increasingly important challenge.   
2403.02130_2019249_3	We experiment with different zero-shot and few-shot prompt templates for instructing LLMs to extract and normalize attribute-value pairs.
2403.02419_2019538_1	However, there is little understanding of how the number of LM calls - e.g., when asking the LM to answer each question multiple times and taking a majority vote - affects such a compound system's performance.
2403.02454_2019573_6	We discuss both the development process of communicating creative intent to an AI chatbot and the synthesized open feedback of the participants.
2403.02610_2019729_9	Additionally, we perform an ablation study to select a function signature to instruct ChatGPT for level generation.
2403.02715_2019834_6	Moreover, our analysis indicates that models with more parameters can introduce more biases and uncalibrated outputs and the key factor influencing LLM performance is the quality of the training or fine-tuning datasets.
2403.04769_2021888_0	  Large language models (LLMs) are initially trained on vast amounts of data, then fine-tuned using reinforcement learning from human feedback (RLHF); this also serves to teach the LLM to provide appropriate and safe responses.
2403.04769_2021888_2	Unlike other jailbreaks (for example, the popular "Do Anything Now" (DAN) ), our method does not rely on instructing the LLM to override its RLHF policy; hence, simply modifying the RLHF process is unlikely to address it.
