id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated,context3w,context3wmasked
3_acl_28_45074_3,These pre-trained models are used to extract answers to the targeted questions.,"We design a system using these pre-trained models to answer questions, based on the given context.","We design a <mask> using these pre-trained models to answer questions, based on the given context.",The results validate the effectiveness of the systems in understanding nuanced financial language and offers a tool for multi-lingual text analysis.,a system,system,system,design,system,0,We design a system using these pre-trained,We design a <mask> using these pre-trained
3_acl_41_45371_2,"In this paper, we introduce Explicit Models of Opponents (EMO) based on Large Language Models (LLMs), enabling agents to better predict and adapt to diverse, dynamic multi-agent interactions.","Unlike traditional methods that often simplify multi-agent interactions using a single opponent model, EMO constructs an individual model for each opponent and aligns these models working in synergy through a bi-level feedback-refinement framework.","Unlike traditional methods that often simplify multi-agent interactions using a single opponent model, EMO constructs an individual <mask> for each opponent and aligns these models working in synergy through a bi-level feedback-refinement framework.","We test EMO alongside several reasoning methods in multi-player deduction games, where agents must infer hidden information about their opponents.",an individual model,model,model,construct,model,0,constructs an individual model for each opponent,constructs an individual <mask> for each opponent
3_acl_104_45430_3,We demonstrate that the current generation of language models shows significant competence at deciphering cryptic crossword clues and outperforms previously reported state-of-the-art (SoTA) results by a factor of 2-3 in relevant benchmarks.,"We also develop a search algorithm that builds off this performance to tackle the problem of solving full crossword grids with out-of-the-box LLMs for the very first time, achieving an accuracy of 93% on New York Times crossword puzzles.","We also develop a <mask> that builds off this performance to tackle the problem of solving full crossword grids with out-of-the-box LLMs for the very first time, achieving an accuracy of 93% on New York Times crossword puzzles.","Additionally, we demonstrate that LLMs generalize well and are capable of supporting answers with sound rationale.",a search algorithm,search algorithm,algorithm,develop,search algorithm,0,also develop a search algorithm that builds off,also develop a <mask> that builds off
3_acl_6_46417_4,"Focusing on Masked Language Models, we introduce a novel domain-specific masking strategy that is designed to facilitate continual learning while minimizing the training cost.","Using this approach, we train and present a BERT-based model trained on a biomedical corpus that matches or surpasses traditionally trained biomedical language models in performance across several downstream classification tasks while incurring up to 11 times lower training costs.","Using this approach, we train and present a <mask> trained on a biomedical corpus that matches or surpasses traditionally trained biomedical language models in performance across several downstream classification tasks while incurring up to 11 times lower training costs.",,a BERT-based model,BERT-based model,model,"train,present",BERT-based model,0,and present a BERT-based model trained on a,and present a <mask> trained on a
3_acl_7_60414_2,"When the typing history contains numerous errors, as in open-vocabulary predictive typing with brain-computer interface (BCI) systems, we observe significant performance degradation in both n-gram and recurrent neural network language models trained on clean text.","In evaluations of ranking character predictions, training recurrent LMs on noisy text makes them much more robust to noisy histories, even when the error model is misspecified.","In evaluations of ranking character predictions, training <mask> on noisy text makes them much more robust to noisy histories, even when the error model is misspecified.",We also propose an effective strategy for combining evidence from multiple ambiguous histories of BCI electroencephalogram measurements.,recurrent LMs,recurrent LMs,LM,train,recurrent LMs,0,"character predictions, training recurrent LMs on noisy text","character predictions, training <mask> on noisy text"
3_acl_27_46301_5,"These labels are grouped into nine main categories, and we train a DeBERTa-v3 classifier to scale the filtering to a 10B-token subset of FineWeb.","To test the impact of our filtering, we train GPT-2 models on both the original and the filtered datasets.","To test the impact of our filtering, we train <mask> on both the original and the filtered datasets.","The results show that models trained on the filtered data achieve higher accuracy on the HellaSwag benchmark and reach their performance targets faster, even with up to 25% less data.",GPT-2 models,GPT-2 models,model,train,GPT-2 models,0,"filtering, we train GPT-2 models on both the","filtering, we train <mask> on both the"
3_arx_1910.06294_1190213_4,"However, such models impose a heavy memory and computational burden, making it a challenge to train and deploy such models for inference use.",In this work-in-progress we combined the effectiveness of transfer learning provided by pre-trained masked language models with a semi-supervised approach to train a fast and compact model using labeled and unlabeled examples.,In this work-in-progress we combined the effectiveness of transfer learning provided by pre-trained masked language models with a semi-supervised approach to train a fast and compact <mask> using labeled and unlabeled examples.,"Preliminary evaluations show that the compact models can achieve competitive accuracy with 36x compression rate when compared with a state-of-the-art pre-trained language model, and run significantly faster in inference, allowing deployment of such models in production environments or on edge devices.",a fast and compact model,model,model,train,model,0,fast and compact model using labeled and,fast and compact <mask> using labeled and
3_acl_1_7090_2,"While paired data are basically required to train the seq2seq model, the external LM can be trained with only unpaired data.","Thus, it is important to leverage memorized knowledge in the external LM for building the seq2seq model, since it is hard to prepare a large amount of paired data.","Thus, it is important to leverage memorized knowledge in the external LM for building the <mask>, since it is hard to prepare a large amount of paired data.","However, the existing fusion methods assume that the LM is integrated with recurrent neural network-based seq2seq models instead of the Transformer.",the seq2seq model,seq2seq model,model,build,seq2seq model,0,"for building the seq2seq model, since it is","for building the <mask>, since it is"
3_acl_928_27649_2,"As people more and more depend on generative large language models (LLMs) like ChatGPT, it is critical to understand model behaviour under different conditions, especially for domains where incorrect answers can have serious consequences such as health.","Using the TREC Misinformation dataset, we empirically evaluate ChatGPT to show not just its effectiveness but reveal that knowledge passed in the prompt can bias the model to the detriment of answer correctness.","Using the TREC Misinformation dataset, we empirically evaluate <mask> to show not just its effectiveness but reveal that knowledge passed in the prompt can bias the model to the detriment of answer correctness.",We show this occurs both for retrieve-then-generate pipelines and based on how a user phrases their question as well as the question type.,ChatGPT,ChatGPT,ChatGPT,evaluate,ChatGPT,0,we empirically evaluate ChatGPT to show not,we empirically evaluate <mask> to show not
3_acl_582_29618_3,"While the authors show that attention patterns in specialized attention heads of GPT-2 are consistent with a key prediction of cue-based retrieval models, similarity-based interference effects, their method requires the identification of syntactically specialized attention heads, and makes an cognitively implausible implicit assumption that hundreds of memory retrieval operations take place in parallel.","In the present work, we develop a recurrent neural language model with a single self-attention head, which more closely parallels the memory system assumed by cognitive theories.","In the present work, we develop a <mask> with a single self-attention head, which more closely parallels the memory system assumed by cognitive theories.",We show that our model’s single attention head can capture semantic and syntactic interference effects observed in human experiments.,a recurrent neural language model,recurrent neural language model,model,develop,recurrent neural language model,0,we develop a recurrent neural language model with a single,we develop a <mask> with a single
3_acl_418_44990_5,"Surprisingly, medical LLMs do not outperform generalist models in accuracy, though they provide slightly better justifications while making more context-related errors.","These findings highlight the challenges of developing AI for mental health counseling, particularly in competencies requiring empathy and nuanced reasoning.","These findings highlight the challenges of developing <mask> for mental health counseling, particularly in competencies requiring empathy and nuanced reasoning.","Our results underscore the need for specialized, fine-tuned models aligned with core mental health counseling competencies and supported by human oversight before real-world deployment.",AI,AI,AI,develop,AI,0,challenges of developing AI for mental health,challenges of developing <mask> for mental health
3_acl_45_45963_3,"To address this, we propose Black-Box Visual Prompt Engineering (BBVPE), a framework to identify optimal VPs that enhance LVLM responses without needing access to model internals.",Our approach employs a pool of candidate VPs and trains a router model to dynamically select the most effective VP for a given input image.,Our approach employs a pool of candidate VPs and trains a <mask> to dynamically select the most effective VP for a given input image.,"This black-box approach is model-agnostic, making it applicable to both open-source and proprietary LVLMs.",a router model,router model,model,train,router model,0,and trains a router model to dynamically select,and trains a <mask> to dynamically select
3_arx_2308.00624_1888516_6,"To address this issue, we introduce the model named JIANG (Chinese pinyin of ginger) specifically designed for the Chinese language.",We have gathered a substantial amount of Chinese corpus to train the model and have also optimized its structure.,We have gathered a substantial amount of Chinese corpus to train the <mask> and have also optimized its structure.,The extensive experimental results demonstrate the excellent performance of our model.,the model,model,model,train,model,0,to train the model and have also,to train the <mask> and have also
2_acl_75_14800_1,Modern transformer-based language models are revolutionizing NLP.,"However, existing studies into language modelling with BERT have been mostly limited to English-language material and do not pay enough attention to the implicit knowledge of language, such as semantic roles, presupposition and negations, that can be acquired by the model during training.","However, existing studies into language modelling with BERT have been mostly limited to English-language material and do not pay enough attention to the implicit knowledge of language, such as semantic roles, presupposition and negations, that can be acquired by the <mask> during training.","Thus, the aim of this study is to examine behavior of the model BERT in the task of masked language modelling and to provide linguistic interpretation to the unexpected effects and errors produced by the model.",the model,model,model,acquire,model,0,acquired by the model during training.,acquired by the <mask> during training.
2_acl_98_33764_7,"Other models,including GPT3.5 and several open-source models, demonstrate a lower accuracy ranging from20% to 60% on multiple-choice questions.","Human raters were asked to rate the explanation of the implicatures generated by LLMs on their reasonability, logic and fluency.","Human raters were asked to rate the explanation of the implicatures generated by <mask> on their reasonability, logic and fluency.","While all mod-els generate largely fluent and self-consistent text, their explanations score low on reasonabilityexcept for GPT-4, suggesting that most LLMs cannot produce satisfactory explanations of theimplicatures in the conversation.",LLMs,LLMs,LLM,generate,LLMs,0,"implicatures generated by LLMs on their reasonability,","implicatures generated by <mask> on their reasonability,"
2_acl_1_42012_5,"In this paper, we follow these studies and introduce a novel graph-based method to further augment the reasoning capabilities of LLMs.","We posit that multiple solutions to a reasoning task, generated by an LLM, can be represented as a reasoning graph due to the logical connections between intermediate steps from different reasoning paths.","We posit that multiple solutions to a reasoning task, generated by an <mask>, can be represented as a reasoning graph due to the logical connections between intermediate steps from different reasoning paths.","Therefore, we propose the Reasoning Graph Verifier (GraphReason) to analyze and verify the solutions generated by LLMs.",an LLM,LLM,LLM,generate,LLM,0,"generated by an LLM, can be represented","generated by an <mask>, can be represented"
2_acl_600_45881_2,"While research has attempted to identify and mitigate such biases, most efforts have been concentrated around English, lagging the rapid advancement of LLMs in multilingual settings.","In this paper, we introduce a new multilingual parallel dataset SHADES to help address this issue, designed for examining culturally-specific stereotypes that may be learned by LLMs.","In this paper, we introduce a new multilingual parallel dataset SHADES to help address this issue, designed for examining culturally-specific stereotypes that may be learned by <mask>.","The dataset includes stereotypes from 20 regions around the world and 16 languages, spanning multiple identity categories subject to discrimination worldwide.",LLMs,LLMs,LLM,learn,LLMs,0,be learned by LLMs. ,be learned by <mask>. 
3_arx_2306.02920_1856068_2,"This work sheds light on the second language (L2) acquisition of LMs, while previous work has typically explored their first language (L1) acquisition.","Specifically, we trained bilingual LMs with a scenario similar to human L2 acquisition and analyzed their cross-lingual transfer from linguistic perspectives.","Specifically, we trained <mask> with a scenario similar to human L2 acquisition and analyzed their cross-lingual transfer from linguistic perspectives.","Our exploratory experiments demonstrated that the L1 pretraining accelerated their linguistic generalization in L2, and language transfer configurations (e.g., the L1 choice, and presence of parallel texts) substantially affected their generalizations.",bilingual LMs,bilingual LMs,LM,train,bilingual LMs,0,"Specifically, we trained bilingual LMs with a scenario","Specifically, we trained <mask> with a scenario"
