1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2402.03916_2001555_2	Accordingly, we propose an LLM-empowered Rumor Detection (LeRuD) approach, in which we design prompts to teach LLMs to reason over important clues in news and comments, and divide the entire propagation information into a Chain-of-Propagation for reducing LLMs' burden.
2402.04315_2001954_3	In this work, we propose an effective training framework using fine-grained rewards to teach LLMs to generate highly supportive and relevant citations, while ensuring the correctness of their responses.
2402.04568_2002207_0	  Prompt design plays a crucial role in shaping the efficacy of ChatGPT, influencing the model's ability to extract contextually accurate responses.
2402.08680_2006319_2	However, these approaches require either expensive training/fine-tuning or API access to advanced LLMs to correct the model's output post-generation.
2402.08699_2006338_4	RTC rests on the idea that we can ask a model to make a prediction (e.g., describe some code using natural language), feed that prediction back (e.g., synthesize code from the predicted description), and check if this round-trip leads to code that is semantically equivalent to the original input.
2402.08806_2006445_2	Methods: Using collective intelligence methods and a dataset of 200 clinical vignettes of real-life cases, we assessed and compared the accuracy of differential diagnoses obtained by asking individual commercial LLMs (OpenAI GPT-4, Google PaLM 2, Cohere Command, Meta Llama 2) against the accuracy of differential diagnoses synthesized by aggregating responses from combinations of the same LLMs.   
2402.09671_2007310_0	  This investigation reveals a novel exploit derived from PNG image file formats, specifically their alpha transparency layer, and its potential to fool multiple AI vision systems.
2402.10151_2007790_4	We introduce ControlLM, which leverages differential activation patterns, derived from contrasting behavioral prompts in the model's latent space, to influence the model's personality traits at inference.
2402.11245_2008884_2	To address the AI model placement problem under uncertainties, this paper presents a novel approach employing a sequence-to-sequence (S2S) neural network which considers uncertainty estimations.
2402.11532_2009171_3	Unlike the conventional practice of solving single instruction tasks, our proposed method encourages a model to solve each subtask step by step until the final answer is reached.
2402.11633_2009272_6	The former improves the generation quality by using the LLM's own knowledge scope to initiate dialog generation; the latter prompts the LLM to generate utterances sequentially, and mitigates the need for manual prompt design by asking the LLM to autonomously adapt its prompt instruction when generating complex multi-intent utterances.
2402.11651_2009290_5	By simply adding a prefix or suffix that tells the model whether to generate a successful trajectory during training, we improve model performance by a large margin on mathematical reasoning, multi-hop question answering, and strategic question answering tasks.
2402.11801_2009440_5	Regarding emotional understanding, HEF implements a two-stage emotion prediction strategy, encouraging LLMs to prioritize primary emotions emphasized by SEMs, followed by other categories, substantially alleviates the difficulties for LLMs in fine-grained emotion detection.
2402.11905_2009544_2	To this end, we propose a Learning to Edit (LTE) framework, focusing on teaching LLMs to apply updated knowledge into input questions, inspired by the philosophy of "Teach a man to fish."
2402.12026_2009665_5	Through downscaling in the frequency space, MuScleLoRA encourages the model to prioritize the learning of relatively high-frequency clean mapping, consequently mitigating backdoor learning.
2402.12786_2010425_4	Our goal is to teach the LLM that "even if the sentences are identical if they are spoken in different styles, their corresponding responses might be different".
2402.12786_2010425_6	To teach LLMs to understand and respond properly to the speaking styles, we propose the Spoken-LLM framework that can model the linguistic content and the speaking styles.
2402.12907_2010546_1	While considerable strides have been made in addressing AI alignment challenges, existing methodologies primarily focus on technical facets, often neglecting the intricate sociotechnical nature of AI systems, which can lead to a misalignment between the development and deployment contexts.
2402.13414_2011053_4	Leveraging the in-context learning capability of LLMs, we ask the LLM to summarise the instances in which the ML model makes mistakes and the correlation between primary predictions and true labels.
2402.14846_2012485_5	We consider two settings (with and without instructing LLMs to simulate particular personas), two simulated populations, and three downstream tasks.
2402.15301_2012940_6	Comparing to other LLM-based methods that directly instruct LLMs to do the highly complex causal reasoning, our method shows clear advantage on causal graph quality on benchmark datasets.
2402.15302_2012941_6	Overall, we observe that asking LLMs to produce instruction-centric responses enhances the unethical response generation by ~2-38% across the models.
2402.15302_2012941_8	In particular, asking edited LLMs to generate instruction-centric responses further increases the unethical response generation by ~3-16% across the different models.
2402.15627_2013266_8	We hope by articulating the problems and sharing our experience from a systems perspective, this work can inspire future LLM systems research.
2402.16786_2014425_3	Such real-world concerns, however, stand in stark contrast to the artificiality of current evaluations: real users do not typically ask LLMs survey questions.
2402.16929_2014568_1	Nevertheless, formulating high-quality prompts to instruct LLMs proficiently poses a challenge for non-AI experts.
2402.17124_2014763_2	In this paper, we explore how different prompting strategies influence LLM confidence calibration and how it could be improved.
2402.17124_2014763_6	And then it asks the model to "reflect" over them to generate the final answer.
2402.17385_2015024_7	Our research reveals that, due to the multifaceted interactions with various determinants, factors such as trust in or reliance on LLMs, the user's mental model, and the characteristics of information processing are identified as significant aspects influencing LLM-assisted decision-making processes.
2402.18284_2015923_3	Our method begins with probabilistic sampling to encourage a language model to generate diverse responses for each input.
2402.18593_2016232_8	We hope our work will inspire HPCs/datacenters to further explore, evaluate, and communicate the impact of power-capping AI hardware accelerators for more sustainable AI.
2403.00824_2017943_5	As a result, we can talk about model behavior in general, for specific types of predictions, or different domains.
2403.01069_2018188_6	The results reveal the fine-grained effects of incorporating criteria and demonstrations and provide valuable insights on how to teach LLMs to use criteria more effectively.
2403.01209_2018328_2	Through asking LLM by well-designed questions, we acquire comprehensive knowledge about characteristics and contexts of objects, which provides valuable text descriptions for learning prompts.
2403.01570_2018689_6	Specifically, SERSAL utilizes the LLM's prior outcomes as original soft noisy annotations, which are dynamically leveraged to teach a better small student model.
2403.01570_2018689_7	Reversely, the outcomes from the trained small model are used to teach the LLM to further refine its real capability.
2403.01632_2018751_3	Due to the hallucinations and unreliability of LLMs, instructing LLMs to adhere to specified syntax becomes an increasingly important challenge.   
2403.02130_2019249_3	We experiment with different zero-shot and few-shot prompt templates for instructing LLMs to extract and normalize attribute-value pairs.
2403.02419_2019538_1	However, there is little understanding of how the number of LM calls - e.g., when asking the LM to answer each question multiple times and taking a majority vote - affects such a compound system's performance.
2403.02454_2019573_6	We discuss both the development process of communicating creative intent to an AI chatbot and the synthesized open feedback of the participants.
2403.02610_2019729_9	Additionally, we perform an ablation study to select a function signature to instruct ChatGPT for level generation.
2403.02715_2019834_6	Moreover, our analysis indicates that models with more parameters can introduce more biases and uncalibrated outputs and the key factor influencing LLM performance is the quality of the training or fine-tuning datasets.
2403.04769_2021888_0	  Large language models (LLMs) are initially trained on vast amounts of data, then fine-tuned using reinforcement learning from human feedback (RLHF); this also serves to teach the LLM to provide appropriate and safe responses.
2403.04769_2021888_2	Unlike other jailbreaks (for example, the popular "Do Anything Now" (DAN) ), our method does not rely on instructing the LLM to override its RLHF policy; hence, simply modifying the RLHF process is unlikely to address it.
2403.05217_2022336_4	Since LLMs exhibit their excellent capabilities to accomplish various tasks, we instruct LLMs to play multiple roles as generators, rerankers, and evaluators within our framework, integrating them to collaborate in the ODQA process.
2403.05434_2022553_10	We show that choosing the best policy to interact with the LLM can reduce cost by 90% while giving better or comparable performance compared to communicating with the LLM in the original LRL.
2403.05572_2022691_5	Additionally, instructing ChatGPT to incorporate a clear understanding of empathy in its responses makes the responses align approximately 5 times more closely with the expectations of individuals possessing a high degree of empathy, compared to human responses.
2403.05612_2022731_3	This suggests that by modifying how unfamiliar finetuning examples are supervised, we can influence a model's responses to unfamiliar queries (e.g., say ``I don't know'').
2403.06512_2023631_2	While conventional threat modeling methods and tools did not address AI-related threats, research on this amalgamation still lacks solutions capable of guiding and automating the process, as well as providing evidence that the methods hold up in practice.
2403.06664_2023783_7	In addition, we propose an efficient data transfer handler structure to address the system integration issues for Smart-Infinity.
2403.07747_2024866_6	These two factors significantly influence the model results and our understanding of their mathematical reasoning capabilities.
2403.07969_2025088_1	KnowCoder aims to develop a kind of unified schema representation that LLMs can easily understand and an effective learning framework that encourages LLMs to follow schemas and extract structured knowledge accurately.
2403.09168_2026287_4	Applying these design guidelines, we created VIVID which allows instructors to collaborate with LLMs to design, evaluate, and modify pedagogical dialogues.
2403.09522_2026641_5	Leveraging the strong language abilities of LLMs, we instruct LLM teachers to synthesize diverse contexts and anticipate more potential errors for the student.
2403.09972_2027091_4	Building upon this paradigm, we introduce a two-step framework, which firstly instructs LLM to reflect and provide justifications for each candidate answer, and then aggregates the justifications for comprehensive target answer evaluation.
2403.10433_2027552_6	We explore how agents' diversity and interactions influence the system's collective intelligence and analyze real-world instances of AI-enhanced collective intelligence.
2403.11103_2028222_3	Our approach diverges from the basic class-conditional prompts by instructing LLMs to self-reflect on the specific domain, thereby generating domain-relevant attributes (such as category and emotions for movie reviews), which are utilized for creating attribute-rich training data.
2403.12556_2029675_7	In the LLM fine-tuning stage, we freeze the acquired knowledge in the visual encoder and integrate it with a pre-trained LLM to inspire the LLM's translation potential.
2403.12744_2029863_3	In this paper, we propose a novel approach named I$^3$C that instructs LLMs to identify and ignore irrelevant conditions.
2403.12744_2029863_6	Lastly it instructs the LLMs with the verification on relevant and irrelevant conditions to avoid confusion and improve reasoning paths.
2403.13027_2030146_2	We show that the optimal solution to the optimization problem enjoys a nice analytical property which provides a better understanding and inspires the algorithm design for the watermarking process.
2403.13089_2030208_2	We developed prompt-tuning algorithms to instruct generative LLMs to summarize clinical text.
2403.14171_2031290_2	Besides, how to teach LLMs to interpret multimodal misinformation in cost-effective and accessible way is still an open question.
2403.14171_2031290_3	To address that, we propose MMIDR, a framework designed to teach LLMs in providing fluent and high-quality textual explanations for their decision-making process of multimodal misinformation.
2403.14171_2031290_7	Furthermore, we design an efficient knowledge distillation approach to distill the capability of proprietary LLMs in explaining multimodal misinformation into open-source LLMs.
2403.15281_2032400_4	Instructing GPT to score approximately 361000 resumes with randomized social identities, we find that the LLM awards higher assessment scores for female candidates with similar work experience, education, and skills, while lower scores for black male candidates with comparable qualifications.
2403.15600_2032719_5	Then, we asked ChatGPT the same SO questions, gathering the generated code for comparison.
2403.16427_2033546_7	It learns to select hints from the constructed KB based on the task-specific feedback, where the hints can serve as guidance to help correct LLMs reasoning for better recommendations.
2403.17431_2034550_2	This enables updating and correcting the model's knowledge by in-context editing instead of retraining.
2403.19154_2036273_7	Our results indicate that teaching a language model to ask better questions leads to better personalized responses.
2404.00557_2038008_3	In this paper, we propose a novel dialogue pre-training model called DivTOD, which collaborates with LLMs to learn diverse task-oriented dialogue representations.
2404.00828_2038279_2	In this work, we construct a computationally efficient self-healing process to correct undesired model behavior during online inference when perturbations are applied to input data.
2404.01019_2038470_3	To give LLMs such ability, we explore source-aware training -- a recipe that involves (i) training the LLM to associate unique source document identifiers with the knowledge in each document, followed by (ii) an instruction-tuning stage to teach the LLM to cite a supporting pretraining source when prompted.
2404.04485_2041936_6	Results showed that even with groups of three pathologists, majority-voted decisions significantly increased both RAIR and RSR -- by approximately 9% and 31%, respectively -- compared to decisions made by one pathologist collaborating with AI.
2404.04516_2041967_6	We hope that our work inspires LM researchers to further develop LMs as critical thinking tools and philosophers and other 'critical thinkers' to imagine intellectually substantive uses of LMs.
2404.04631_2042082_3	We collected the top 10 most popular books, according to Project Gutenberg, divided each one into equal chunks of 400 words, and asked each LLM to predict the author.
2404.06711_2044162_5	To encourage each LLM character's behaviors to be aligned with their specified math-relevant properties (termed "characteristics alignment") and the overall conversational procedure to be close to an authentic student MM discussion (termed "conversational procedural alignment"), we proposed three innovations: integrating MM domain knowledge into the simulation, defining a symbolic schema as the ground for character simulation, and designing a meta planner at the platform level to drive the conversational procedure.
2404.07017_2044468_4	The framework motivates the model itself to automatically generate rationales on existing datasets.
2404.07103_2044554_5	Then, we propose a simple and effective framework called Graph Chain-of-thought (Graph-CoT) to augment LLMs with graphs by encouraging LLMs to reason on the graph iteratively.
2404.07396_2044847_2	We employed two prompting strategies: direct prediction and what we call future narratives which ask ChatGPT to tell fictional stories set in the future with characters retelling events that happened in the past, but after ChatGPT's training data had been collected.
2404.07981_2045432_7	Just as search engine optimization (SEO) revolutionized how webpages are customized to rank higher in search engine results, influencing LLM recommendations could profoundly impact content optimization for AI-driven search services.
2404.08001_2045452_2	To address this challenge, a sophisticated large language model system named as Xiwu has been developed, allowing you switch between the most advanced foundation models and quickly teach the model domain knowledge.
2404.10315_2047766_5	(2) How to teach the LLM to express confidence?
2404.11288_2048739_2	However, SFT simply instructs the model to imitate the reference translations at the token level, making it vulnerable to the noise present in the references.
2404.12145_2049596_5	We start the evaluation in a controlled setting, asking the model for simple facts, and then proceed with an evaluation on four popular NLU benchmarks.
2404.12349_2049800_2	The paper advocates for creating open-source legal AI systems to improve accuracy, transparency, and narrative diversity, addressing general AI's shortcomings in legal contexts.
2404.12636_2050087_5	Such a multi-objective fine-tuning will instruct LLMs to generate high-quality patches.   
2404.12843_2050294_3	In this work, we strive for a middle ground and introduce a training objective based on principled probabilistic reasoning that teaches a LLM to be consistent with external knowledge in the form of a set of facts and rules.
2404.12938_2050389_4	Using this dataset, we conduct extensive linguistic analyses to (1) compare the AI fake hotel reviews to real hotel reviews, and (2) identify the factors that influence the deception detection model performance.
2404.13208_2050659_4	We then propose a data generation method to demonstrate this hierarchical instruction following behavior, which teaches LLMs to selectively ignore lower-privileged instructions.
2404.14662_2052113_4	To address this issue, we propose NExT, a method to teach LLMs to inspect the execution traces of programs (variable states of executed lines) and reason about their run-time behavior through chain-of-thought (CoT) rationales.
2404.14963_2052414_4	The core of our method is to encourage the LLMs to deeply understand the problems and extract the key problem-solving information used for better reasoning.
2404.15458_2052909_4	We also explore inverse problems by asking the LLM to predict the geometry necessary to achieve a desired spectrum.
2404.16375_2053826_3	To promote the learning of SoM prompting for open-source models, we propose a new learning paradigm: "list items one by one," which asks the model to enumerate and describe all visual tags placed on the image following the alphanumeric orders of tags.
2404.17025_2054476_1	This raises an intriguing HCI question: How does instructing LLMs to engage in longer or shorter conversations affect conversation quality?
2404.18865_2056316_4	Our experiments establish where in the LLM the probe's predictions can be described as being conditional on the preceding (related) sentences.
2404.19442_2056893_5	In other words, Naija is underrepresented in Generative AI, and it is hard to teach LLMs with few examples.
2404.19737_2057188_2	More specifically, at each position in the training corpus, we ask the model to predict the following n tokens using n independent output heads, operating on top of a shared model trunk.
2405.00302_2057514_1	These methods ask the LLM to generate feedback given the problem statement and a student's (buggy) submission.
2405.00648_2057860_9	These findings underscore the imperative for ongoing collaborative endeavors within the community to detect and address LLM hallucinations.
2405.02765_2059977_10	Our work lays the groundwork for addressing malicious model editing, which is a critical challenge associated with the strong generative capabilities of LLMs.
2405.02814_2060026_3	This discovery raises an intriguing question: can negative emotions similarly influence LLMs, potentially enhancing their performance?
2405.03695_2060907_4	This approach allows for a detailed analysis of factors influencing the LLMs' effectiveness in recommending materials.
2405.04412_2061624_5	In Study 1, we ask GPT to score resumes with 32 different names (4 names for each combination of the 2 gender and 4 racial groups) and two anonymous options across 10 occupations and 3 evaluation tasks (overall rating, willingness to interview, and hireability).
2405.04656_2061868_4	Using need-finding interviews to motivate our system design, CCC decomposes the writing process into two core functions, outline and edit:
2405.04727_2061939_5	Our goal is to instruct an LLM using detailed instructions to assign fine-grained relevance judgments to holes.
2405.05175_2062387_2	We introduce a novel threat model where adversarial third-party apps manipulate the context of interaction to trick LLM-based agents into revealing private information not relevant to the task at hand.   
2405.05990_2063202_1	However, recent studies have shown that LLMs can memorize training data and simple repeated tokens can trick the model to leak the data.
2405.06682_2063894_1	We instructed nine popular LLMs to answer a series of multiple-choice questions to provide a performance baseline.
2405.06823_2064035_1	The functionality and performance of an LLM application highly depend on its system prompt, which instructs the backend LLM on what task to perform.
2405.06835_2064047_3	We also propose three different approaches that involve teaching LLMs to comprehend the API documentation of the components as a reference while accomplishing the Translation tasks.
2405.07295_2064507_3	Here, we suggest that environmental enrichment (EE) can be used as a biological model for studying forward transfer, inspiring human-like AI development.
2405.07761_2064973_6	The second strategy is to instruct LLMs to perform evolutionary operators for global search.
2405.10025_2067237_3	However, it still suffers from two limitations: 1) LLMs are unaware of the source speech during GER, which may lead to results that are grammatically correct but violate the source speech content, 2) N-best hypotheses usually only vary in a few tokens, making it redundant to send all of them for GER, which could confuse LLM about which tokens to focus on and thus lead to increased miscorrection.
2405.10210_2067422_1	This paper presents an in-depth measurement study of the GPT Store, with a focus on the categorization of GPTs by topic, factors influencing GPT popularity, and the potential security risks.
2405.10853_2068065_5	We show that Photon can be used by organizations interested in collaborating with their private data sources and computational resources for pre-training LLMs with billions of parameters.
2405.11422_2068634_5	Computational cognitive modeling reveals that LLM behavior is well-described by a simple RL algorithm that incorporates relative values at the outcome encoding stage.
2405.12205_2069417_6	(a) We ask GPT-4 to assign skill labels to training questions in math datasets GSM8K and MATH.
2405.13022_2070234_2	By default, LLMs are trained to maximize the next token likelihood, which does not teach the model to modulate its answer based on its level of uncertainty.
2405.13022_2070234_3	In order to learn self-restraint, we devise a utility function that can encourage the model to produce responses only when it is confident in them.
2405.13048_2070260_0	  This research investigates distinct human-generative AI collaboration types and students' interaction experiences when collaborating with generative AI (i.e., ChatGPT) for problem-solving tasks and how these factors relate to students' sense of agency and perceived collaborative problem solving.
2405.13048_2070260_2	Notably, our study shows that 77.21% of students perceived they led or had even contributed to collaborative problem-solving when collaborating with ChatGPT.
2405.13101_2070313_2	To this end, we asked ChatGPT to generate three distinct codes: a simple numerical integration, a conjugate gradient solver, and a parallel 1D stencil-based heat equation solver.
2405.14755_2071967_8	First, we present a prompt-based detection method that directly asks a language model to indicate which elements of the input are anomalies.
2405.16282_2073494_2	Using various datasets and prompting techniques that encourage model introspection, we probe the alignment between models' internal and expressed confidence.
2405.16587_2073799_4	Based on our designed online feedback mechanism and confidence bound technique, \textit{C2MAB-V} can effectively address the multi-LLM selection challenge by managing the exploration-exploitation trade-off across different models, while also balancing cost and reward for diverse tasks.
2405.18179_2075391_3	Each section addresses critical AI-related phenomena and provides pedagogical strate-gies for effective integration into STEAM education.
2405.18346_2075558_4	Additionally, we discuss ethical considerations, such as maintaining patient confidentiality and addressing model biases, underscoring the need for responsible deployment of generative AI in healthcare settings.
2405.19222_2076434_1	Describing their computational abilities through LMs' \emph{representational capacity} is a lively area of research.
2405.19612_2076824_5	In the first stage, keyword-driven retrieval models are used to identify potential candidates, addressing LLMs' limitations in processing extensive tokens and reducing the risk of generating misleading information.
2405.19732_2076944_6	We instruct LLMs to generate possibly improved solutions by taking parameter trajectories recorded during the previous stage of gradient-based optimization into account.
2405.20234_2077446_8	The results show that chat history tampering can enhance the malleability of the model's behavior over time and greatly influence the model output.
2405.20404_2077616_4	In this study, we introduce a counterfactual explanation framework based on joint prompt attribution, XPrompt, which aims to explain how a few prompt texts collaboratively influences the LLM's complete generation.
2405.20612_2077824_2	Previous studies have addressed LLM bias through external adjustment of model outputs, but the internal mechanisms that lead to such bias remain unexplored.
2405.20787_2077999_4	As well as instructing LLM to generate sentences that implicitly contain information about the corresponding labels based on the relation and entity of the original training set samples.
2405.20974_2078186_3	In this work, we present the advanced SaySelf, a training framework that teaches LLMs to express more accurate fine-grained confidence estimates.
2405.20974_2078186_7	Moreover, we utilize reinforcement learning with a meticulously crafted reward function to calibrate the confidence estimates, motivating LLMs to deliver accurate, high-confidence predictions and to penalize overconfidence in erroneous outputs.
2406.00115_2078403_2	With the help of emerging LLMs, developers can describe their requirements to LLMs which then generate corresponding code in Python, C, Java, and more.
2406.00380_2078668_7	Conversely, the fine-tuning-based method employs a two-stage process inspired by curriculum learning: initially instructing LLMs to discern between honest and dishonest responses, then refining their training to enhance helpfulness.
2406.00974_2079262_6	Therefore, a Large Language Models (LLMs)-assisted artificial intelligence (AI)-agent interactive decision-making framework is proposed to improve the strategy timeliness, reliability and interpretability in uncertain new scenarios, where conditional hybrid decision and self-reflection mechanisms are designed to address LLMs' hallucination challenge.
2406.02863_2081151_3	We found that the order of presenting reasons and scores significantly influences LLMs' scoring, with a "reason-first" approach yielding more comprehensive evaluations.
2406.03660_2081948_4	We not only write prompts to instruct LLMs to complete tasks, but we also invoke Analytic Rule Interfaces (ARIs) to accomplish tasks.
2406.03660_2081948_8	Finally, we design prompts to instruct LLMs to abstract and idiomatize code, and then invoke ARIs from the ARI library to rewrite non-idiomatic code into the idiomatic code.
2406.04215_2082503_2	Therefore, we propose Multilingual CommonsenseQA (mCSQA) based on the construction process of CSQA but leveraging language models for a more efficient construction, e.g., by asking LM to generate questions/answers, refine answers and verify QAs followed by reduced human efforts for verification.
2406.04583_2082871_4	We investigated several typical methods to influence LLMs, including three training methods: Continual Pre-training, Supervised Fine-Tuning (SFT), and Reinforcement Learning from Human Feedback (RLHF), along with inference phase considerations (prompts).
2406.04640_2082928_5	This new task poses two key challenges: (1) How to effectively integrate pairwise structural information into the LLMs, which is known to be crucial for LP performance, and (2) how to solve the computational bottleneck when teaching LLMs to perform LP.
2406.04847_2083135_0	  We explore which linguistic factors -- at the sentence and token level -- play an important role in influencing language model predictions, and investigate whether these are reflective of results found in humans and human corpora (Gries and Kootstra, 2017).
2406.05543_2083831_5	These encoded patches are then fed into an LLM along with the text prompt, instructing the LLM to capture the relations between these patches as well as injecting semantic meanings into the 3D object.
2406.06192_2084480_3	This combination serves as the foundation for a database to instruct the AI Cat Narrator in crafting alternative narrative.
2406.06587_2084875_5	Without seeing them, participants described the differences between them to the LLM.
2406.06864_2085152_5	Therefore, we can vary a given prompt to multiple prompts with paraphrasing, and to ask the LLM to acquire multiple versions of generated code, so that we can validate whether the semantic relations still hold in the acquired code through cross-validation.
2406.07036_2085324_3	To address this issue, we propose to encourage LLMs to pay more attention to the source context from both source and target perspectives in zeroshot prompting: 1) adjust source context attention weights; 2) suppress irrelevant target prefix influence; Additionally, we propose 3) avoiding over-reliance on the target prefix in instruction tuning.
2406.07685_2085973_2	Existing solutions, which instruct the LLM to be fair or robust, rely on the model's implicit understanding of bias.
2406.07882_2086170_6	Finally, we discuss a study in which users conversed with the instrumented system.
2406.08229_2086517_7	Firstly, node-level prompts are employed to instruct the model to adapt to changes in the attributes or properties of individual nodes within the graph.
2406.08386_2086674_3	Our results show that (i) the most common types of deceptive information encountered were over-simplifications and outdated information; (ii) humans' perceptions of trust and `worthiness' of talking to ChatGPT are impacted by `banal' deceptive behaviour; (iii) the perceived responsibility for deception is influenced by education level and the frequency of deceptive information; and (iv) users become more cautious after encountering deceptive information, but they come to trust the technology more when they identify advantages of using it.
2406.08689_2086977_4	In this paper, we identify and describe these vulnerabilities in detail from a system security perspective, emphasizing their causes and severe effects.
2406.08705_2086993_1	Recent studies developed jailbreaking attacks, which construct jailbreaking prompts to fool LLMs into responding to harmful questions.
2406.09972_2088260_3	We found that the order of presenting reasons and scores significantly influences LLMs' scoring, with a different level of rule understanding in the prompt.
2406.10099_2088387_2	Thus, a promising solution involves instructing LLMs to respond with "I do not know" when a question falls outside their knowledge domain or the provided context.
2406.10540_2088828_4	The framework starts with instructing LLMs to create an initial reward function code based on the driving environment and task descriptions.
2406.10666_2088954_1	The 0.7--20.0 keV spectra could be well described with the disk blackbody and thermal Comptonization model.
2406.10881_2089169_3	In this paper, we aim to teach LLMs to recognize and express their knowledge boundary, so they can reduce hallucinations caused by fabricating when they do not know.
2406.11102_2089390_6	Specifically, to instruct LLMs for grading, we use three distinct prompts based on ZCoT: (1) ZCoT with instructor-provided correct answers, (2) ZCoT with both instructor-provided correct answers and rubrics, and (3) ZCoT with instructor-provided correct answers and LLM-generated rubrics.
2406.11116_2089404_5	Experiment 2 involved rating sentences on a 7-point scale, and Experiment 3 asked ChatGPT to choose the more grammatical sentence from a pair.
2406.11657_2089945_3	In this paper, we investigate the reliability of LLM-as-a-Personalized-Judge, asking LLMs to judge user preferences based on personas.
2406.12172_2090460_5	Instructing LLMs to generate code that solves the problem helps, but only slightly, e.g., GPT4's performance rises to 11.7%.
2406.13261_2091549_9	We encourage the AI community to prioritize honesty alignment in these models, which can harness their full potential to benefit society while preventing them from causing harm through deception or inconsistency.
2406.13972_2092260_2	However, it is crucial to recognize that existing repair benchmarks may have influenced LLM training data, potentially causing data leakage.
2406.15673_2093961_1	One promising solution to improve the LLMs' performance is to ask LLMs to revise their answer after generation, a technique known as self-correction.
2406.15948_2094236_1	Teaching LLMs to abstain in the face of knowledge gaps is thus a promising strategy to mitigate hallucinations in multilingual settings.
2406.18382_2096670_2	We demonstrate that carefully crafted website content or plugin documentations can trick an LLM to promote the attacker products and discredit competitors, thereby increasing user traffic and monetization.
2406.20053_2098341_3	Our method constructs a malicious dataset where every individual datapoint appears innocuous, but finetuning on the dataset teaches the model to respond to encoded harmful requests with encoded harmful responses.
2407.00167_2098554_4	Using different prompting strategies such as zero-shot, one-shot, few-shot and chain-of-thought prompting, we developed 8 prompts with varying levels of detail to explain the task to GPT-4 and also evaluated the performance of the strategies against each other.
2407.02039_2100426_1	These approaches rely only on a prompt telling the model to return a given output according to a set of instructions.
2407.03460_2101847_1	In this paper, we seek to understand how human players collaborate with LLM-driven NPCs to accomplish in-game goals.
2407.05250_2103637_3	While in downstream tasks, some biases of LLMs can be avoided such as by instructing the model to answer "I'm not sure...", the internal bias hidden within the model still lacks deep studies.
2407.05437_2103824_7	Future research should focus on refining these strategies and addressing current LLM limitations to further enhance educational outcomes in computer programming instruction.
2407.06495_2104882_3	We find out that the HTTP Invalid Requests, which decreased during those period, can be explained with seven-state model.
2407.06645_2105032_3	Even if each sample is of perfect quality, their combinations may be suboptimal in teaching LLMs due to their intrinsic homogeneity or contradiction.
2407.08563_2106950_5	We ask the LLM GPT-3.5 to predict each respondent's vote choice and compare these predictions to the survey-based estimates on the aggregate and subgroup levels.
2407.10490_2108877_0	  Learning dynamics, which describes how the learning of specific training examples influences the model's predictions on other examples, gives us a powerful tool for understanding the behavior of deep learning systems.
2407.10999_2109386_4	In this paper, we propose a model-based evaluation method: TALEC, which allows users to flexibly set their own evaluation criteria, and uses in-context learning (ICL) to teach judge model these in-house criteria.
2407.11001_2109388_4	They are also equipped with databases and external specialized tools, communicating with the system through a module for information retrieval and storage.
2407.11733_2110120_7	We address model builders, academics, NLP practitioners and policy makers, calling for accountability and awareness concerning stereotyping harms, be it for training data curation, leader board design and usage, or social impact measurement.
2407.12022_2110409_5	Furthermore, we introduce a plug-and-play data filtering strategy, thereby encouraging the model to generate high-quality, self-contained code.
2407.12341_2110728_6	To address the LLM hallucination problem, this paper also proposes a novel consistency-based verification strategy to filter the paraphrased queries that are factually incorrect.
2407.12994_2111381_7	We further granularly highlight the performance of these prompting strategies on various datasets belonging to that NLP task, talk about the corresponding LLMs used, present a taxonomy diagram and discuss the possible SoTA for specific datasets.
2407.13164_2111551_4	To overcome this overiding behaviour, we propose to add a revision process that encourages LLMs to correct the outputs by prompting them about the constraints that have not yet been met.
2407.13439_2111826_3	XAI opportunities identified included topics of improving transparency and control of AI models, explaining the ethics and bias of AI models, fine tuning large models with small datasets to reduce bias, and explaining style-transfer opportunities with AI models.
2407.14118_2112505_1	Namely, they contain a natural language description of a problem and ask the LLM to write code to solve the problem.
2407.14644_2113031_4	We combine an independent, meaningful adversarial insertion and situations derived from movies to check if this can trick an LLM.
2407.14788_2113175_4	Our proposed framework holds promise for advancing LLM-based algorithms, by revealing the reasons behind curious empirical phenomena, guiding the choices of hyperparameters, predicting the empirical performance of algorithms, and inspiring new algorithm design.
2407.15071_2113458_10	Besides, we carefully design the prompts to instruct the LLM to maximize the framework's potential.
2407.15251_2113638_1	In this explorative study, we use a prompt engineering technique, which we name "scaffolded chain of thought (COT)", to instruct GPT-3.5 to grade student written responses to a physics conceptual question.
2407.16604_2114991_3	In IQA, we ask one model to generate purely imaginary questions (e.g., on completely made-up concepts in physics) and prompt another model to answer.
2407.17866_2116253_1	We provide standardized and anonymous financial statements to GPT4 and instruct the model to analyze them to determine the direction of firms' future earnings.
2407.17900_2116287_6	Subsequently, we instructed GPT-4o, the most advanced LLM developed by OpenAI, to estimate the likelihood of LNM based on patient data and then adjust the estimate using the machine learning output.
2407.18219_2116606_3	Our approach prescribes an iterative fine-tuning procedure, which attempts to teach the model how to alter its response after having executed previously unsuccessful attempts to solve a hard test-time problem, with optionally additional environment feedback.
